cruise,cast,niskin,date,latitude,longitude,depth,sample_id,replicate,nitrate_nitrite,ammonium,phosphate,silicate,alternate_sample_id,project_id,nearest_station,station_distance
EN608,1,2,2018-01-31 19:34:45+00:00,41.19634,-70.87844,17.48,279,a,0.0,0.4192406553915497,0.3322371823926201,0.0,,LTER,L1,0.4096358322037679
EN608,1,2,2018-01-31 19:34:45+00:00,41.19634,-70.87844,17.48,280,b,0.0,0.4104248472174283,0.3343071959900819,0.0,,LTER,L1,0.4096358322037679
EN608,1,6,2018-01-31 19:37:20+00:00,41.19636,-70.8783,11.852,281,a,0.0,0.5367847643798347,0.32602714160023466,0.0,,LTER,L1,0.42112016229734206
EN608,1,6,2018-01-31 19:37:20+00:00,41.19636,-70.8783,11.852,282,b,0.0,0.3330416421334741,0.31567707361292563,0.0,,LTER,L1,0.42112016229734206
EN608,1,9,2018-01-31 19:40:43+00:00,41.19636,-70.87805999999999,7.022,283,a,0.0,0.30659421761110994,0.33327218919135104,0.0,,LTER,L1,0.44117510931885306
EN608,1,9,2018-01-31 19:40:43+00:00,41.19636,-70.87805999999999,7.022,284,b,0.0,0.6053521612896675,0.31981710080784925,0.0,,LTER,L1,0.44117510931885306
EN608,1,19,2018-01-31 19:45:42+00:00,41.19644,-70.87768,2.7260000000000004,285,a,0.0,0.4642992305037256,0.3343071959900819,0.0,,LTER,L1,0.4723156314519
EN608,1,19,2018-01-31 19:45:42+00:00,41.19644,-70.87768,2.7260000000000004,286,b,0.0,0.4305052991695937,0.3353422027888128,0.0,,LTER,L1,0.4723156314519
EN608,4,1,2018-02-01 05:44:26+00:00,41.02064,-70.87162,43.662,287,a,0.5334228747932253,0.7033055854465716,0.4212477670834778,0.7455376841540061,,LTER,L2,1.4301937675101657
EN608,4,1,2018-02-01 05:44:26+00:00,41.02064,-70.87162,43.662,288,b,0.5263240912883724,0.8825603516537063,0.4150377262910924,0.7475746723620772,,LTER,L2,1.4301937675101657
EN608,4,4,2018-02-01 05:47:15+00:00,41.02006,-70.87133,29.595,289,a,0.5202394197127843,0.829665502608978,0.4243527874796705,0.7801664836912141,,LTER,L2,1.4939985854160522
EN608,4,4,2018-02-01 05:47:15+00:00,41.02006,-70.87133,29.595,290,b,0.6013683740539593,0.31589979290601583,0.430562828272056,0.7750740131710365,,LTER,L2,1.4939985854160522
EN608,4,6,2018-02-01 05:47:34+00:00,41.01998,-70.87125999999999,29.461,291,a,0.5293664270761665,0.4182611211499807,0.43780787586317227,0.7648890721306811,,LTER,L2,1.504531380143938
EN608,4,6,2018-02-01 05:47:34+00:00,41.01998,-70.87125999999999,29.461,292,b,0.3873907569791104,0.7013465169634335,0.3726024475431253,0.5673012159477889,,LTER,L2,1.504531380143938
EN608,4,12,2018-02-01 05:52:23+00:00,41.01866,-70.87066,3.5460000000000003,293,a,0.5384934344395487,0.7527720646458083,0.4176252432879197,0.758778107506468,,LTER,L2,1.6480634402696774
EN608,4,12,2018-02-01 05:52:23+00:00,41.01866,-70.87066,3.5460000000000003,294,b,0.5384934344395487,0.543641504070818,0.42021276028474697,0.7832219660033207,,LTER,L2,1.6480634402696774
EN608,5,1,2018-02-01 09:24:00+00:00,40.85798,-70.88401999999999,44.244,295,a,1.266625799651594,0.7562004344912999,0.4698930866238304,1.5786658612550677,,LTER,L3,0.5939030241536536
EN608,5,1,2018-02-01 09:24:00+00:00,40.85798,-70.88401999999999,44.244,296,b,1.2696681354393875,0.5573549834527844,0.472998107020023,1.5745918848389255,,LTER,L3,0.5939030241536536
EN608,5,5,2018-02-01 09:26:50+00:00,40.857479999999995,-70.8841,30.037,297,a,3.1452681486144263,0.7018362840842182,0.4859356920041593,1.6316275546649153,,LTER,L3,0.6498280636825587
EN608,5,5,2018-02-01 09:26:50+00:00,40.857479999999995,-70.8841,30.037,298,b,1.2605411280760055,0.923700789799606,0.4698930866238304,1.6367200251850926,,LTER,L3,0.6498280636825587
EN608,5,9,2018-02-01 09:29:30+00:00,40.8568,-70.88424,15.079,299,a,1.27879514280277,0.9530868170466772,0.4740331138187539,1.6407940016012348,,LTER,L3,0.72617066980654
EN608,5,9,2018-02-01 09:29:30+00:00,40.8568,-70.88424,15.079,300,b,1.3168243401501956,1.054468611049073,0.4719631002212921,1.6321368017169329,,LTER,L3,0.72617066980654
EN608,5,13,2018-02-01 09:32:45+00:00,40.85608,-70.88436,3.237,301,a,1.275752807014976,1.1382187887032258,0.4698930866238304,1.625516590040702,,LTER,L3,0.8067552350997129
EN608,5,13,2018-02-01 09:32:45+00:00,40.85608,-70.88436,3.237,302,b,1.383248671517033,1.2489061580005276,0.4781731410136775,1.6275535782487731,,LTER,L3,0.8067552350997129
EN608,8,2,2018-02-01 19:20:46+00:00,40.6958,-70.88511,61.731,303,a,2.020110963095256,1.301801007045256,0.4750681206174848,1.3902444520084951,,LTER,L4,0.18273487632466262
EN608,8,2,2018-02-01 19:20:46+00:00,40.6958,-70.88511,61.731,304,b,2.080450622886505,0.8262371327634864,0.4864531954035248,1.4151975575573656,,LTER,L4,0.18273487632466262
EN608,8,4,2018-02-01 19:23:05+00:00,40.695240000000005,-70.88488000000001,44.417,305,a,2.0140262915196683,0.8806012831705682,0.4833481750073321,1.4024663812569214,,LTER,L4,0.2100471193424174
EN608,8,4,2018-02-01 19:23:05+00:00,40.695240000000005,-70.88488000000001,44.417,306,b,1.9896876052173156,0.9658207621870748,0.4833481750073321,1.3983924048407792,,LTER,L4,0.2100471193424174
